name,domain,category,country,contact,notes
Example Brands (DEMO),example.com,fashion,South Africa,Jane Sample,"Demo row — shows the pattern-guess + proposal + draft flow with no API keys"
Heineken Beverages South Africa,heinekenbeverages.com,alcohol,South Africa,,"Savanna, Hunters, Amarula, Klipdrift, Nederburg — big sponsorship spend"
South African Breweries (SAB),sab.co.za,alcohol,South Africa,,"Castle, Carling Black Label, Flying Fish — major events & music sponsor"
KWV,kwv.co.za,alcohol,South Africa,,"Brandy & wine heritage brand"
Diageo South Africa,diageo.com,alcohol,South Africa,,"Johnnie Walker, Smirnoff, Guinness — strong entertainment activations"
Distell,distell.co.za,alcohol,South Africa,,"Legacy Distell brands / group comms"
MultiChoice,multichoice.com,film_tv,South Africa,,"DStv, Showmax, M-Net — largest pay-TV/streaming in SA"
eMedia Holdings,emedia.co.za,film_tv,South Africa,,"e.tv, eNCA, Openview"
SABC,sabc.co.za,film_tv,South Africa,,"Public broadcaster — 3 TV channels, many radio stations"
Quizzical Pictures,quizzicalpictures.com,film_tv,South Africa,,"Leading local production house"
Ferguson Films,fergusonfilms.co.za,film_tv,South Africa,,"Prominent SA TV production house"
Diprente,diprente.co.za,film_tv,South Africa,,"Kagiso Lediga / production & comedy"
The Foschini Group (TFG),tfglimited.co.za,fashion,South Africa,,"Owns many retail fashion brands"
Woolworths,woolworths.co.za,fashion,South Africa,,"Premium fashion + food retailer"
Mr Price Group,mrpricegroup.com,fashion,South Africa,,"Value fashion, youth market, big campaigns"
Truworths,truworths.co.za,fashion,South Africa,,"Fashion retail group"
Superbalist,superbalist.com,fashion,South Africa,,"Online fashion, youth/culture-led marketing"
MaXhosa Africa,maxhosa.africa,fashion,South Africa,,"Luxury knitwear, strong cultural brand"
Rich Mnisi,richmnisi.com,fashion,South Africa,,"High-fashion designer label"
